"","Entity","avg_yield","sd"
"1","Israel",12.5215017241379,8.12171221003481
"2","Belgium",11.1204263157895,1.19091037392133
"3","Jordan",10.2814586206897,9.07919159016315
"4","New Zealand",8.9331224137931,1.99421358954272
"6","Austria",7.8687275862069,2.13690469102482
"7","Switzerland",7.81887931034483,1.98048404120285
"8","Greece",7.65812068965517,3.45428494252079
"9","Netherlands",7.60335517241379,3.19313060607125
"10","Luxembourg",7.59578947368421,1.34784140135862
"11","Italy",7.35638448275862,2.1809442953062
"12","United States",7.35566896551724,2.15558629271383
"14","Slovenia",7.09864814814815,1.62410692059226
"15","Germany",7.00029827586207,2.1280681088635
"16","Chile",6.98988620689655,3.40874102809945
"18","Spain",6.83017068965517,3.10753946304612
"19","Tajikistan",6.82176296296296,4.57455514912889
"20","France",6.8098775862069,2.09535823584092
"21","Canada",6.78959310344828,1.76240257751025
"22","Czech Republic",6.70223846153846,1.45561717744108
"24","Uzbekistan",6.32698518518519,3.23146649820215
"25","Croatia",6.0139037037037,1.39694612403174
"26","Reunion",5.93777068965517,1.70025790190356
"27","Slovakia",5.83335769230769,1.51029825774198
"28","Kyrgyzstan",5.60060740740741,0.918975129790676
"29","Egypt",5.5794,1.89377691177682
"30","Serbia",5.47003076923077,1.4203524952071
"33","Australia & New Zealand",5.18509482758621,1.90296797766223
"34","Hungary",5.14928275862069,1.60405841803516
"39","Poland",4.61799655172414,1.50031141129603
"40","Armenia",4.57914814814815,1.51425075516431
"41","Taiwan",4.47848448275862,1.66911679469005
"42","Mauritius",4.45055172413793,2.37311306968046
"43","Iran",4.27896896551724,2.54016875535596
"44","Bosnia and Herzegovina",4.26207407407407,0.955364740896454
"45","Argentina",4.25188275862069,1.89719264437562
"46","Ukraine",4.23792222222222,1.5223971480564
"47","Australia",4.18699137931034,1.7276353559874
"49","Turkey",4.15738275862069,2.52500580281688
"50","Azerbaijan",4.15541851851852,1.6856107603516
"52","Serbia and Montenegro",4.09955,1.0469460552924
"53","Kazakhstan",4.08304444444444,1.24964545597582
"54","Bulgaria",4.07908620689655,1.34647933573479
"55","Macedonia",4.01544444444444,0.612774146078769
"56","Montenegro",3.96924615384615,0.736853670022509
"57","Eastern Asia",3.90075172413793,1.50543886137825
"58","China",3.8981775862069,1.53179448601421
"59","Belarus",3.87146666666667,1.59374230882005
"60","Portugal",3.78148620689655,2.5753047059675
"63","Albania",3.68518448275862,1.71764645973267
"64","Yugoslavia",3.62202903225806,0.923067845174827
"65","Lithuania",3.60551851851852,2.2949496326025
"66","North Korea",3.58158275862069,1.16174592462454
"67","South Korea",3.5623224137931,1.52972323767235
"68","Western Asia",3.4870224137931,1.89005617767091
"69","New Caledonia",3.44883103448276,1.79435555672008
"70","Russia",3.39241111111111,1.12391130923469
"71","Romania",3.15273275862069,1.08571606097008
"72","Trinidad and Tobago",3.10409310344828,0.666347153572678
"73","Asia",3.09910862068966,1.28131880899145
"74","Moldova",3.05053703703704,0.526232738177078
"75","Papua New Guinea",3.03618448275862,1.8323452964833
"76","Thailand",2.96381379310345,0.891997727054038
"78","Montserrat",2.91994482758621,2.15104960492954
"79","Malaysia",2.8171775862069,2.05057254529653
"80","South America",2.77156551724138,1.32016558564709
"81","Bahamas",2.73179827586207,2.52619920180297
"82","Barbados",2.58133275862069,0.262864849797236
"83","Laos",2.56688793103448,1.63225264664615
"84","Brazil",2.54488103448276,1.2972415377168
"85","South Africa",2.52352413793103,1.29945229910634
"86","Japan",2.51201379310345,0.246421006486849
"87","Saudi Arabia",2.47198965517241,2.12014525186694
"88","Bangladesh",2.46298275862069,2.46343342854856
"89","Guam",2.45758448275862,0.505051760002187
"90","Indonesia",2.41981724137931,1.4002900984073
"91","Uruguay",2.3910224137931,1.88070709248794
"92","Southern Africa",2.38887068965517,1.15704801292494
"93","Lebanon",2.34412931034483,1.35504841293827
"94","Ethiopia",2.30656153846154,0.816629113405552
"95","Georgia",2.28694074074074,0.452970656427153
"96","Venezuela",2.2590775862069,0.970102703197948
"97","Syria",2.25383793103448,1.73841691240709
"98","Vietnam",2.2282224137931,1.28702953482968
"99","Peru",2.19182068965517,0.628541980554055
"100","Paraguay",2.18589655172414,1.13322155402826
"101","Fiji",2.18568103448276,0.672750969398767
"104","Iraq",2.12597068965517,0.737698363215443
"105","Mexico",2.12033103448276,0.845310579320519
"106","Cambodia",2.10961551724138,1.33492900656252
"107","El Salvador",2.07725344827586,0.645903124074853
"108","Belize",2.01284482758621,0.919164772501571
